fragment_id,donor_id,n_lines,n_changed,ngram_p_unclipped_n5_before,ngram_p_unclipped_n5_after,ngram_p_unclipped_n5_delta,ngram_p_clipped_n5_before,ngram_p_clipped_n5_after,ngram_p_clipped_n5_delta,aligned_precision_before,aligned_precision_after,aligned_precision_delta,aligned_recall_before,aligned_recall_after,aligned_recall_delta,aligned_f1_before,aligned_f1_after,aligned_f1_delta,cer_before,cer_after,cer_delta,cer_lenient_before,cer_lenient_after,cer_lenient_delta,loop_ratio_before,loop_ratio_after,loop_ratio_delta
Cambridge_CUL_T_S_13J2_14,Cambridge_CUL_T_S_13J2_14,26,7,0.4464,0.5968,0.1504,0.4437,0.4585,0.0148,0.819,0.3874,-0.4316,0.681,0.336,-0.345,0.7436,0.3599,-0.3838,0.3351,0.4364,0.1013,0.3333,0.4355,0.1022,0.0164,0.0315,0.0151
Oxford_Bodleian_MS_heb_b_11_28,Oxford_Bodleian_MS_heb_b_11_28,36,11,0.7346,0.7819,0.0473,0.7346,0.5745,-0.1602,0.9155,0.5981,-0.3175,0.8644,0.5533,-0.3111,0.8892,0.5748,-0.3144,0.1775,0.3599,0.1825,0.1775,0.3599,0.1825,0.0156,0.0476,0.032
Oxford_Bodleian_MS_heb_c_28_66,Oxford_Bodleian_MS_heb_c_28_66,20,6,0.755,0.8181,0.063,0.75,0.539,-0.211,0.9433,0.4723,-0.471,0.9273,0.4128,-0.5145,0.9352,0.4405,-0.4947,0.0945,0.3546,0.2601,0.0921,0.3538,0.2617,0.012,0.0405,0.0284
Cambridge_CUL_T_S_13J26_15,Cambridge_CUL_T_S_13J26_15,29,8,0.6876,0.8134,0.1258,0.6815,0.6783,-0.0032,0.9148,0.484,-0.4308,0.7472,0.4012,-0.346,0.8225,0.4387,-0.3838,0.2753,0.4033,0.1279,0.2753,0.4033,0.1279,0.0365,0.0543,0.0178
Cambridge_CUL_T_S_10J13_11,Cambridge_CUL_T_S_10J13_11,48,15,0.5839,0.7201,0.1362,0.5839,0.5822,-0.0017,0.4295,0.5803,0.1508,0.3005,0.4266,0.1261,0.3536,0.4917,0.1382,0.4725,0.5722,0.0998,0.4702,0.5711,0.1009,0.0253,0.0724,0.0472
Cambridge_CUL_T_S_16_124,Cambridge_CUL_T_S_16_124,43,12,0.6179,0.7226,0.1047,0.6151,0.5082,-0.1069,0.8831,0.5387,-0.3444,0.8128,0.3696,-0.4432,0.8465,0.4384,-0.4081,0.2117,0.5364,0.3247,0.211,0.5364,0.3254,0.0111,0.0452,0.034
Cambridge_CUL_T_S_13J26_14,Cambridge_CUL_T_S_13J26_14,43,12,0.3158,0.509,0.1932,0.3158,0.4078,0.092,0.7994,0.6399,-0.1595,0.6664,0.4513,-0.215,0.7268,0.5293,-0.1975,0.3628,0.5389,0.1761,0.3619,0.5381,0.1761,0.0161,0.0583,0.0422
Cambridge_CUL_T_S_20_110,Cambridge_CUL_T_S_20_110,37,12,0.6707,0.7473,0.0766,0.6698,0.5675,-0.1022,0.8539,0.5346,-0.3193,0.8205,0.4365,-0.3841,0.8369,0.4806,-0.3563,0.2325,0.5049,0.2723,0.227,0.5021,0.2751,0.0221,0.039,0.0169
Cambridge_CUL_T_S_24_13,Cambridge_CUL_T_S_24_13,75,22,0.5376,0.6785,0.1409,0.5342,0.5135,-0.0206,0.7904,0.6964,-0.094,0.6757,0.6312,-0.0444,0.7285,0.6622,-0.0663,0.3584,0.3991,0.0407,0.3726,0.4107,0.0381,0.0165,0.0237,0.0072
Cambridge_CUL_T_S_8J4_18,Cambridge_CUL_T_S_8J4_18,30,9,0.727,0.7925,0.0654,0.724,0.5818,-0.1423,0.8586,0.6022,-0.2564,0.6848,0.4519,-0.2329,0.762,0.5164,-0.2456,0.3364,0.5213,0.1848,0.3336,0.5185,0.1848,0.0177,0.0563,0.0386
Cambridge_CUL_T_S_16_128,Cambridge_CUL_T_S_16_128,26,7,0.4149,0.6011,0.1863,0.4136,0.3931,-0.0205,0.8166,0.533,-0.2836,0.7859,0.459,-0.3269,0.801,0.4933,-0.3077,0.2555,0.4301,0.1745,0.2555,0.4301,0.1745,0.0153,0.0514,0.0361
Cambridge_CUL_T_S_20_63,Cambridge_CUL_T_S_20_63,43,12,0.4685,0.7185,0.25,0.4672,0.5499,0.0827,0.3297,0.3472,0.0175,0.1829,0.2225,0.0396,0.2353,0.2712,0.0359,0.7556,0.7281,-0.0275,0.7496,0.7189,-0.0307,0.0157,0.0446,0.0289
Cambridge_CUL_T_S_16_117,Cambridge_CUL_T_S_16_117,23,6,0.3981,0.742,0.3438,0.3704,0.6608,0.2904,0.4736,0.5476,0.074,0.1449,0.2492,0.1043,0.2219,0.3425,0.1206,0.8188,0.7389,-0.0799,0.8188,0.7389,-0.0799,0.0474,0.0385,-0.0089
Oxford_Bodleian_MS_heb_d_66_32,Oxford_Bodleian_MS_heb_d_66_32,47,14,0.5217,0.6515,0.1298,0.5217,0.4799,-0.0418,0.7419,0.5842,-0.1577,0.705,0.5492,-0.1558,0.723,0.5662,-0.1568,0.3448,0.4406,0.0958,0.3423,0.4393,0.0971,0.0207,0.0626,0.042
Cambridge_CUL_T_S_18J1_14,Cambridge_CUL_T_S_18J1_14,32,9,0.4569,0.6,0.1431,0.4534,0.4828,0.0293,0.8114,0.6131,-0.1983,0.7756,0.5837,-0.192,0.7931,0.598,-0.1951,0.2711,0.3865,0.1154,0.2711,0.3865,0.1154,0.0205,0.0411,0.0205
Cambridge_CUL_T_S_10J4_10,Cambridge_CUL_T_S_10J4_10,35,10,0.6849,0.771,0.086,0.6837,0.6032,-0.0805,0.8806,0.706,-0.1746,0.7996,0.6211,-0.1785,0.8382,0.6609,-0.1773,0.2413,0.3679,0.1266,0.2368,0.3652,0.1284,0.0305,0.0477,0.0172
Cambridge_CUL_T_S_Misc_35_11,Cambridge_CUL_T_S_Misc_35_11,34,11,0.4918,0.6306,0.1389,0.2691,0.3797,0.1106,0.4202,0.3346,-0.0856,0.5087,0.3254,-0.1832,0.4602,0.3299,-0.1303,0.7821,0.7101,-0.072,0.7821,0.7101,-0.072,0.0246,0.0307,0.0061
Cambridge_CUL_T_S_13J13_16,Cambridge_CUL_T_S_13J13_16,51,16,0.6644,0.7275,0.0631,0.6598,0.5625,-0.0973,0.8939,0.6147,-0.2792,0.8231,0.5215,-0.3016,0.857,0.5643,-0.2928,0.2081,0.3783,0.1702,0.2072,0.3774,0.1702,0.0137,0.0299,0.0162
Cambridge_CUL_T_S_10J2_3,Cambridge_CUL_T_S_10J2_3,51,16,0.3401,0.6142,0.2741,0.3401,0.4139,0.0737,0.697,0.4124,-0.2847,0.4755,0.3345,-0.141,0.5653,0.3694,-0.1959,0.5579,0.5914,0.0335,0.5579,0.5914,0.0335,0.027,0.0669,0.0399
