ref_doc_id,script_bucket,gt_letters,tier_a,n_pairs,mean_wrong,max_wrong,share_ge_halluc
Cambridge_CUL_T_S_16_117,judaeo_arabic,3267,True,595,0.03436195819401306,0.3402139520867862,0.08067226890756303
Cambridge_CUL_T_S_20_21,judaeo_arabic,1949,True,593,0.02871547728861785,0.5217391304347826,0.05733558178752108
Cambridge_CUL_T_S_13J2_6,judaeo_arabic,2013,False,598,0.02812952103046507,0.26229508196721313,0.038461538461538464
Cambridge_CUL_T_S_20_4,judaeo_arabic,4125,True,596,0.02758608431070805,0.2687782805429864,0.013422818791946308
Cambridge_CUL_T_S_13J8_6,judaeo_arabic,1388,True,596,0.027178145071908823,0.5957446808510638,0.04865771812080537
Cambridge_CUL_T_S_20_63,judaeo_arabic,1826,True,596,0.027008018967115032,0.27722772277227725,0.031879194630872486
Cambridge_CUL_T_S_16_138,judaeo_arabic,1644,True,594,0.025895362473193507,0.43478260869565216,0.05218855218855219
New_York_JTS_ENA_4020_16,judaeo_arabic,1352,False,598,0.0247727561777351,0.29315068493150687,0.043478260869565216
Cambridge_CUL_T_S_16_170,judaeo_arabic,1488,True,596,0.021984364131652563,0.5217391304347826,0.04865771812080537
Cambridge_CUL_T_S_10J4_10,judaeo_arabic,878,True,597,0.02104200402554669,0.5217391304347826,0.038525963149078725
