setting,config,model,n,pct_abstained,pct_loop_collapse,pct_hallucinated,pct_substantive,ngram_precision_median,aligned_f1_median,cer_median_substantive,n_substantive,tier_a_count,tier_changes_vs_paper
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,gemini_pro,68,0.0,0.0,0.4117647058823529,0.5882352941176471,0.17384144907080687,0.4208190704882576,0.43185620461501834,40,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,gemini_flash,122,0.13934426229508196,0.07377049180327869,0.3770491803278688,0.4098360655737705,0.06427047553150303,0.19639986994052927,0.5328430271726926,50,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,claude_opus_4_8,131,0.29770992366412213,0.022900763358778626,0.2824427480916031,0.3969465648854962,0.06472491909385113,0.3658315725928162,0.4083969043670536,52,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,claude_sonnet_5,131,0.09923664122137404,0.015267175572519083,0.6717557251908397,0.21374045801526717,0.02888086642599278,0.3663003663003663,0.40309952829781703,28,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,gpt_5_6_sol,131,0.5877862595419847,0.007633587786259542,0.15267175572519084,0.25190839694656486,0.0,0.034354688950789226,0.6460287679799875,33,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,qwen3_vl_8b_heb_v17_step800,131,0.015267175572519083,0.030534351145038167,0.2900763358778626,0.6641221374045801,0.1672473867595819,0.5530068195908245,0.37896825396825395,87,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.6870229007633588,0.13740458015267176,0.010084033613445379,0.0832907138160298,0.37312945575289147,18,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2824427480916031,0.015267175572519083,0.0,0.009767846390580051,0.49283102832519765,2,55,0
a=50,n5 unclipped hebrew h0.10 t0.25 l0.45 a50,vision_ocr_seg,123,0.2682926829268293,0.008130081300813009,0.43902439024390244,0.2845528455284553,0.023809523809523808,0.10770381451009722,0.6177723676202069,35,55,0
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.0,0.9918032786885246,0.7151133950716414,0.6785012331915609,0.43556895252449135,121,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.0,0.9923664122137404,0.7105263157894737,0.7298245614035087,0.3561276212302878,130,120,65
unclip n3 h0.05,n3 unclipped hebrew h0.05 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.0,1.0,0.4981708151920918,0.4208190704882576,0.5893061926605505,68,120,65
