doc_id,section,model,cer_strict,cer_lenient,gt_chars,source_run
02_8_page_001,rashi,claude_opus_4_8,0.8039985719385934,0.8039985719385934,2802,talmud-fill-claude-37pages
02_8b_page_001,rashi,claude_opus_4_8,0.6490509862299962,0.6490509862299962,2688,talmud-fill-claude-37pages
02_9_page_001,rashi,claude_opus_4_8,0.8236370289059641,0.8064398097328943,2734,talmud-fill-claude-37pages
02_9b_page_001,rashi,claude_opus_4_8,0.7171717171717171,0.7171717171717171,2080,talmud-fill-claude-37pages
01_10_page_001,tosafot,claude_opus_4_8,0.16967509025270758,0.08664259927797834,278,talmud-20260713-133127
01_10b_page_001,tosafot,claude_opus_4_8,0.99581589958159,0.99581589958159,241,talmud-20260713-133127
01_11_page_001,tosafot,claude_opus_4_8,0.7991755005889282,0.7991755005889282,1702,talmud-20260713-133127
01_11b_page_001,tosafot,claude_opus_4_8,0.8257448004496908,0.8257448004496908,1782,talmud-20260713-133127
01_12_page_001,tosafot,claude_opus_4_8,0.8650137741046832,0.8650137741046832,1453,talmud-20260713-133127
01_12b_page_001,tosafot,claude_opus_4_8,0.8687448728465955,0.8687448728465955,1221,talmud-20260713-133127
01_13_page_001,tosafot,claude_opus_4_8,0.8504606661941885,0.8504606661941885,1415,talmud-fill-claude-37pages
01_13b_page_001,tosafot,claude_opus_4_8,0.879045996592845,0.879045996592845,1177,talmud-20260713-133127
01_14_page_001,tosafot,claude_opus_4_8,0.9484247967479674,0.9484247967479674,3937,talmud-20260713-133127
01_14b_page_001,tosafot,claude_opus_4_8,0.868824531516184,0.868824531516184,1763,talmud-20260713-133127
01_15_page_001,tosafot,claude_opus_4_8,0.4336569579288026,0.4336569579288026,1857,talmud-20260713-133127
01_15b_page_001,tosafot,claude_opus_4_8,0.8519736842105263,0.8519736842105263,609,talmud-20260713-133127
01_2_page_001,tosafot,claude_opus_4_8,0.3119232188999631,0.3089700996677741,2712,talmud-20260713-133127
01_2b_page_001,tosafot,claude_opus_4_8,0.8736234923964342,0.8736234923964342,1911,talmud-20260713-133127
01_3_page_001,tosafot,claude_opus_4_8,0.9491444866920152,0.9491444866920152,2107,talmud-20260713-133127
01_3b_page_001,tosafot,claude_opus_4_8,0.8801652892561983,0.8801652892561983,969,talmud-20260713-133127
01_4_page_001,tosafot,claude_opus_4_8,0.9707057256990679,0.9707057256990679,753,talmud-20260713-133127
01_4b_page_001,tosafot,claude_opus_4_8,0.8509127789046653,0.8509127789046653,987,talmud-20260713-133127
01_5b_page_001,tosafot,claude_opus_4_8,0.8381689232753062,0.8381689232753062,1554,talmud-20260713-133127
01_6_page_001,tosafot,claude_opus_4_8,0.797486033519553,0.797486033519553,1438,talmud-20260713-133127
01_7_page_001,tosafot,claude_opus_4_8,0.0988235294117647,0.08,426,talmud-20260713-133127
01_7b_page_001,tosafot,claude_opus_4_8,0.8483091787439614,0.8483091787439614,1039,talmud-20260713-133127
01_8_page_001,tosafot,claude_opus_4_8,0.7648,0.7648,627,talmud-20260713-133127
01_8b_page_001,tosafot,claude_opus_4_8,0.8741496598639455,0.8741496598639455,1768,talmud-20260713-133127
01_9_page_001,tosafot,claude_opus_4_8,0.25859106529209624,0.25859106529209624,1167,talmud-20260713-133127
01_9b_page_001,tosafot,claude_opus_4_8,0.8779443254817987,0.8779443254817987,1871,talmud-20260713-133127
02_10_page_001,tosafot,claude_opus_4_8,0.740990990990991,0.740990990990991,890,talmud-20260713-133127
02_10b_page_001,tosafot,claude_opus_4_8,0.8363636363636363,0.8363636363636363,1652,talmud-fill-claude-37pages
02_11_page_001,tosafot,claude_opus_4_8,0.9570815450643777,0.9570815450643777,2337,talmud-fill-claude-37pages
02_11b_page_001,tosafot,claude_opus_4_8,0.8721244925575101,0.8721244925575101,1481,talmud-fill-claude-37pages
02_12_page_001,tosafot,claude_opus_4_8,0.9297468354430379,0.9297468354430379,1582,talmud-fill-claude-37pages
02_12b_page_001,tosafot,claude_opus_4_8,0.7983539094650206,0.7983539094650206,2194,talmud-fill-claude-37pages
02_13_page_001,tosafot,claude_opus_4_8,0.8441678192715537,0.8289534347625634,2170,talmud-fill-claude-37pages
02_13b_page_001,tosafot,claude_opus_4_8,0.8075210291934686,0.7323107372587828,2023,talmud-fill-claude-37pages
02_14_page_001,tosafot,claude_opus_4_8,0.7112566261303399,0.7112566261303399,3212,talmud-fill-claude-37pages
02_14b_page_001,tosafot,claude_opus_4_8,0.7362784471218207,0.7362784471218207,2244,talmud-fill-claude-37pages
